company,date,title,s-description,url
BetFair,15/07/2020,EARN £10 IN CASH FOR EVERY FRIEND YOU REFER,"For each person you successfully refer to Betfair we'll give you £10 in CASH.Max 5 referrals.",https://promos.betfair.com/promotion?promoCode=CACQRAEAUTOUKIE
BetFair,15/07/2020,BET £20 ON THE EXCHANGE  & GET £5 TO START A FREE BET STREAK,'To qualify you must first opt-in to the promotion.After your qualifying bet(s) has settled you’ll get a £5 Exchange Free Bet. If you win with your free bet you’ll receive another free bet the following day. You have 72 hours to use your free bet.To learn more about ‘Free Bet Streak’ press the More Info tab and watch the video.',https://promos.betfair.com/promotion?promoCode=EXCSTREAK130720
BetFair,15/07/2020,BET £10 ON MULTIPLES & GET A £5 FREE BET VALID ON MULTIPLES,"To qualify you must first opt in to the promotion. Stake £10 on multiples between 00:00 – 23:59 Wed 15th July. After the qualifying bet(s) have settled you'll get a £5 free bet.Your qualifying bet(s) will be the first bet(s) you place during the promotional period that totals £10 or more. Additional bets placed will not count towards the promotion.\xa0Your qualifying bet(s) must settle before 23:59 in order to receive the free bet.",https://promos.betfair.com/promotion?promoCode=SBKB20G5150720P
BetFair,15/07/2020,FREE BET UP TO £25 WHEN YOU WIN A FOOTBALL SAME GAME MULTI AT 4/1 OR MORE,"Place a Same Game Multi bet at combined odds of 4/1 or better on any Football match available.If your bet wins you'll get a free bet matching your stake up to £25.",https://promos.betfair.com/promotion?promoCode=RETSGMFOOTBALL2
BetFair,15/07/2020,BEST ODDS GUARANTEED ON ALL UK AND IRELAND RACES,'Best Odds Guaranteed applies to any price taken on singles and multiples after 8am on the day of the race.',https://promos.betfair.com/promotion?promoCode=BOGUKANDIE3
BetFair,15/07/2020,Minimum Bet To Win Guarantee,'Minimum £500 bet to win guarantee for all\xa0races taking place in UK or Ireland.',https://promos.betfair.com/promotion?promoCode=MBGRACINGIREUK22
BetFair,15/07/2020,EACH WAY EDGE,'Use Each Way Edge to control the number of places on your each way bet.',https://promos.betfair.com/promotion?promoCode=EWEHORSERACE
BetFair,15/07/2020,BETFAIR NOW ACCEPTS CASH DEPOSITS,'Deposit to your Betfair balance in Paddy Power shops.',https://promos.betfair.com/promotion?promoCode=BETFAIRCASHDEP2
